seller,itemid,produk,image,harga,harga_ori,discount,ulasan,rating,brand,url
SCAR-L,6595600568,Minyak Wangi Durence Influence X Zikri Daulay Eau DeParfume Original - PARFUM PRIA TAHAN LAMA / INFLUENCE DURENCE / PARFUM COWOK / PARFUM BERSERTIFIKAT BPOM PERTAMA - ( DURENCE PA parfum non alkohol / pafum artis/parfum BPOM ),https://sg-test-11.slatic.net/p/18b41c49ece766cab95203913412ed9a.jpg,107702,134500,19.924163568773235,3,5.0,Nature Reaction,//www.lazada.co.id/products/minyak-wangi-durence-influence-x-zikri-daulay-eau-deparfume-original-parfum-pria-tahan-lama-influence-durence-parfum-cowok-parfum-bersertifikat-bpom-pertama-durence-pa-parfum-non-alkohol-pafum-artisparfum-bpom-i6595600568.html
SCAR-L,6611206872,TERLARIS - PARFUM DZAN KHUSYU EDP PARFUM TAHAN 12 JAM UNISEX UNTUK PRIA DAN WANITA 100% ASLI ORIGINAL SUDAH BPOM,https://id-test-11.slatic.net/p/7f931ffebcddd8ead0a07e6afaa6e43f.jpg,107702,175000,38.456,3,5.0,Nature Reaction,//www.lazada.co.id/products/terlaris-parfum-dzan-khusyu-edp-parfum-tahan-12-jam-unisex-untuk-pria-dan-wanita-100-asli-original-sudah-bpom-i6611206872.html
SCAR-L,6611344219,PARFUM SHOLAT NON ALKOHOL PREMIUM TAHAN LAMA PRIA WANITA 12 JAM ORI DZAN KHUSYU,https://id-test-11.slatic.net/p/c8cc3ce10f3e08492106bda4cb30ec8b.jpg,106273,155000,31.436774193548388,3,5.0,Nature Reaction,//www.lazada.co.id/products/parfum-sholat-non-alkohol-premium-tahan-lama-pria-wanita-12-jam-ori-dzan-khusyu-i6611344219.html
SCAR-L,6679342148,COD Serum Nature Reaction Crystal Bright Serum Pencerah Wajah Glowing,https://id-test-11.slatic.net/p/1716611595fb98590885324e05206db0.jpg,65863,137000,51.924817518248176,3,5.0,Nature Reaction,//www.lazada.co.id/products/cod-serum-nature-reaction-crystal-bright-serum-pencerah-wajah-glowing-i6679342148.html
SCAR-L,6595524282,EGP - PARFUME PRIA TAHAN LAMA INFLUENCE DURENCE X DIKZRY DAULAY BPOM - PARFUM MEWAH - MINYAK WANGI SPRAY TAHAN LAMA,https://sg-test-11.slatic.net/p/060dba7e94d7cee5ae7928455cc164e2.jpg,106273,170000,37.48647058823529,4,4.75,Nature Reaction,//www.lazada.co.id/products/egp-parfume-pria-tahan-lama-influence-durence-x-dikzry-daulay-bpom-parfum-mewah-minyak-wangi-spray-tahan-lama-i6595524282.html
SCAR-L,6611384029,ORIGINAL DZAN KHUSYU | PARFUM SHOLAT PREMIUM DZAN KHUSYU EAU DE PARFUM | DZAN KHUSYU PARFUM SHOLAT | FARFUM MINYAK WANGI | PARFUM TAHAN LAMA 24 JAM | PARFUM 3 AROMA | PARFUM TANPA ALKOHOL,https://id-test-11.slatic.net/p/9d9b221ec171a8231fe6a3130cd8cda0.jpg,107702,153300,29.74429223744292,3,5.0,Nature Reaction,//www.lazada.co.id/products/original-dzan-khusyu-parfum-sholat-premium-dzan-khusyu-eau-de-parfum-dzan-khusyu-parfum-sholat-farfum-minyak-wangi-parfum-tahan-lama-24-jam-parfum-3-aroma-parfum-tanpa-alkohol-i6611384029.html
SCAR-L,6611336868,DZAN KHUSYU PARFUM KEKINIAN PARFUM PRIA WANITA TAHAN LAMA 12 JAM PARFUM PREMIUM WANGI LEMBUT KALEM TANPA ALKOHOL 50ML,https://id-test-11.slatic.net/p/8bcd3a90aa5a3557676c4bbae1dc019f.png,107702,200000,46.149,3,5.0,Nature Reaction,//www.lazada.co.id/products/dzan-khusyu-parfum-kekinian-parfum-pria-wanita-tahan-lama-12-jam-parfum-premium-wangi-lembut-kalem-tanpa-alkohol-50ml-i6611336868.html
SCAR-L,6595274719,PARFUM DURENCE INFLUENCE X ZIKRI DAULAY PARFUM PRIA WANGI DAN TAHAN LAMA LOVABLE INFLUENCE EAU DE PARFUM ORIGINAL BPOM,https://sg-test-11.slatic.net/p/85366fcfd747e510a9fcfe15d1b61417.jpg,107702,150000,28.198666666666668,3,5.0,Nature Reaction,//www.lazada.co.id/products/parfum-durence-influence-x-zikri-daulay-parfum-pria-wangi-dan-tahan-lama-lovable-influence-eau-de-parfum-original-bpom-i6595274719.html
SCAR-L,6611382885,PARFUM PRIA TAHAN LAMA 12 JAM TERWANGI WANGI KALEM ORIGINAL ORI VIRAL TIKTOK PARFUM DZAN KHUSYU EDP 50ML BPOM,https://id-test-11.slatic.net/p/52162b3c90799eb70c9f32bf314cc1d3.jpg,108801,176000,38.18125,4,5.0,Nature Reaction,//www.lazada.co.id/products/parfum-pria-tahan-lama-12-jam-terwangi-wangi-kalem-original-ori-viral-tiktok-parfum-dzan-khusyu-edp-50ml-bpom-i6611382885.html
SCAR-L,6595512190,PROMO - [BISA COD] PARFUME PRIA TAHAN LAMA INFLUENCE DURENCE X DIKZRY DAULAY BPOM - PARFUM MEWAH - MINYAK WANGI TAHAN LAMA,https://sg-test-11.slatic.net/p/fa5948ba744cd4d5132bd4f955b01f15.jpg,107702,150500,28.437209302325584,3,5.0,Nature Reaction,//www.lazada.co.id/products/promo-bisa-cod-parfume-pria-tahan-lama-influence-durence-x-dikzry-daulay-bpom-parfum-mewah-minyak-wangi-tahan-lama-i6595512190.html
SCAR-L,6595532247,EGP - VIRAL !!! Influence X Zikri Daulay Parfum Influnce Durence Eau De Parfum X Zikri Daulay Pria Wanita Unisex Asli BPOM | Parfum Influence Infuece Parfume Wanita Original / Minyak Wangi Eau De Parfume / Parfume Baccarat 100% Original,https://sg-test-11.slatic.net/p/b6ffa79d0e32b9aabf2d62d158b825c3.jpg,106163,165000,35.65878787878788,3,5.0,Nature Reaction,//www.lazada.co.id/products/egp-viral-influence-x-zikri-daulay-parfum-influnce-durence-eau-de-parfum-x-zikri-daulay-pria-wanita-unisex-asli-bpom-parfum-influence-infuece-parfume-wanita-original-minyak-wangi-eau-de-parfume-parfume-baccarat-100-original-i6595532247.html
SCAR-L,6611256358,COD OKE - PARFUM DZAN KHUSYU EDP PARFUM TAHAN 12 JAM UNISEX UNTUK LAKI-LAKI DAN PEREMPUAN 100% ORIGINAL ASLI SUDAH BPOM,https://id-test-11.slatic.net/p/bb963e20ebc7fd30a1206c1519808685.jpg,107702,154400,30.24481865284974,3,5.0,Nature Reaction,//www.lazada.co.id/products/cod-oke-parfum-dzan-khusyu-edp-parfum-tahan-12-jam-unisex-untuk-laki-laki-dan-perempuan-100-original-asli-sudah-bpom-i6611256358.html
SCAR-L,6595638039,Parfume Influence Durence Eau De Parfum Pria Wangi Tahan Lama Bpom Original,https://sg-test-11.slatic.net/p/16cb4cefac28e8542679278bc77b7f36.jpg,107702,129000,16.510077519379845,3,5.0,Nature Reaction,//www.lazada.co.id/products/parfume-influence-durence-eau-de-parfum-pria-wangi-tahan-lama-bpom-original-i6595638039.html
SCAR-L,6611236405,PARFUM PRIA ORIGINAL TAHAN LAMA WANGI KALEM TERWANGI - PARFUM DZAN KHUSYU EAU DE PARFUME 50ML,https://id-test-11.slatic.net/p/8b4603e44eff0276394bb64382cfe4b3.jpg,107702,135000,20.22074074074074,3,5.0,Nature Reaction,//www.lazada.co.id/products/parfum-pria-original-tahan-lama-wangi-kalem-terwangi-parfum-dzan-khusyu-eau-de-parfume-50ml-i6611236405.html
SCAR-L,6595490659,PARFUM DURENCE PRIA TAHAN LAMA PARFUM INFLUENCE DURANCE ZIKRI DAULAY ORIGINAL BPOM - PARFUME DURENCE COWOK,https://sg-test-11.slatic.net/p/a2ac1ac118a3e6b83f98dcb6d5f6cf2e.jpg,107702,160000,32.68625,3,5.0,Nature Reaction,//www.lazada.co.id/products/parfum-durence-pria-tahan-lama-parfum-influence-durance-zikri-daulay-original-bpom-parfume-durence-cowok-i6595490659.html
SCAR-L,6726302880,Terlaris Espio Sabun Collagen Mengencangkan Kulit Wajah dan Seluruh Tubuh,https://id-test-11.slatic.net/p/20d7ffd2c059ebc73d05e91c79a1a07f.jpg,47873,98900,51.59453993933266,2,5.0,Nature Reaction,//www.lazada.co.id/products/terlaris-espio-sabun-collagen-mengencangkan-kulit-wajah-dan-seluruh-tubuh-i6726302880.html
SCAR-L,6726634242,Sabun Espio Collagen Soap Original / Sabun Espio Garansi Mengatasi Jerawat,https://id-test-11.slatic.net/p/5796453ed077aef6d376342562912577.jpg,48015,112000,57.129464285714285,2,5.0,Nature Reaction,//www.lazada.co.id/products/sabun-espio-collagen-soap-original-sabun-espio-garansi-mengatasi-jerawat-i6726634242.html
SCAR-L,6611160545,| BISA COD | SCARL PARFUM PRIA PREMIUM DZAN KHUSYU EAU DE PARFUME DZAN KHUSYU,https://id-test-11.slatic.net/p/e21525752ead8c1c3c6c9bc2d42ccd5f.jpg,107702,190000,43.31473684210526,3,5.0,Nature Reaction,//www.lazada.co.id/products/bisa-cod-scarl-parfum-pria-premium-dzan-khusyu-eau-de-parfume-dzan-khusyu-i6611160545.html
SCAR-L,6595630803,Parfume Durence Influence X Zikri Daulay Parfume Wanita dan Pria Bpom - Parfume Karismatik - Parfume Unisex,https://sg-test-11.slatic.net/p/a89801113c035b961d4a6582ceb35e8b.jpg,107702,149300,27.862022772940385,3,5.0,Nature Reaction,//www.lazada.co.id/products/parfume-durence-influence-x-zikri-daulay-parfume-wanita-dan-pria-bpom-parfume-karismatik-parfume-unisex-i6595630803.html
SCAR-L,6613060826,Nature Reaction Lip Glow Serum Bibir Lip Serum Pelembab Bibir,https://id-test-11.slatic.net/p/897623abffa137737eaa089606d3ef8b.jpg,97911,120000,18.4075,3,5.0,Nature Reaction,//www.lazada.co.id/products/nature-reaction-lip-glow-serum-bibir-lip-serum-pelembab-bibir-i6613060826.html
SCAR-L,6726582543,| GRATIS ONGKIR ORIGINAL 100%  | Sabun Espio Collagen Soap Original / Espio Collagen Soap Ori / Sabun Pemutih Badan dan Wajah / Sabun Muka Wajah Glowing,https://id-test-11.slatic.net/p/21737a49e4d0fd026016f509bb0231d8.jpg,47775,97000,50.74742268041237,2,5.0,Nature Reaction,//www.lazada.co.id/products/gratis-ongkir-original-100-sabun-espio-collagen-soap-original-espio-collagen-soap-ori-sabun-pemutih-badan-dan-wajah-sabun-muka-wajah-glowing-i6726582543.html
SCAR-L,6603974193,PARFUM TERMEWAH PARFUM WANITA INFLUENCE LOVABLE SERIES INFLUENCE Lovable Eau De Parfume Parfum Wanita Wangi Tahan Lama 50ml 100% ORIGINAL BPOM,https://id-test-11.slatic.net/p/85c5c6fbf6f85d118da6c8c6867e2622.png,107702,166000,35.119277108433735,3,5.0,Nature Reaction,//www.lazada.co.id/products/parfum-termewah-parfum-wanita-influence-lovable-series-influence-lovable-eau-de-parfume-parfum-wanita-wangi-tahan-lama-50ml-100-original-bpom-i6603974193.html
SCAR-L,6726604246,AKU CANTIK - Sabun Pemutih Espio BPOM Original Collagen Soap Wajah Glowing dan Badan Sabun 2 in 1 Kolagen Colagen Collagen Cuci Muka Kecantikan Pembersih Jerawat,https://id-test-11.slatic.net/p/e83575b4fb51c9664910d0498be68523.jpg,47726,100000,52.274,2,5.0,Nature Reaction,//www.lazada.co.id/products/aku-cantik-sabun-pemutih-espio-bpom-original-collagen-soap-wajah-glowing-dan-badan-sabun-2-in-1-kolagen-colagen-collagen-cuci-muka-kecantikan-pembersih-jerawat-i6726604246.html
SCAR-L,6613294444,Nature Reaction Lip Glow Serum Bibir Lip | Pelembab Perawatan Bibir,https://id-test-11.slatic.net/p/123c94f2b3c9f4e1332d4da89a65841c.jpg,96922,129800,25.329738058551616,3,5.0,Nature Reaction,//www.lazada.co.id/products/nature-reaction-lip-glow-serum-bibir-lip-pelembab-perawatan-bibir-i6613294444.html
SCAR-L,6679334728,COD Serum Nature Reaction Crystal Bright Whltening Original,https://id-test-11.slatic.net/p/6d9828f04bc01aba5c41d487eff276c5.jpg,65863,140000,52.955,2,5.0,Nature Reaction,//www.lazada.co.id/products/cod-serum-nature-reaction-crystal-bright-whltening-original-i6679334728.html
SCAR-L,6678180192,Promo Gratis Ongkir - Menlab Serum Pria Hydrating Skin Cowok Ajaib Viral Tiktok Mencerahkan Wajah Kusam,https://id-test-11.slatic.net/p/4fc5cac11e4c4de82871e5a6343ef273.png,101753,174000,41.52126436781609,2,5.0,Nature Reaction,//www.lazada.co.id/products/promo-gratis-ongkir-menlab-serum-pria-hydrating-skin-cowok-ajaib-viral-tiktok-mencerahkan-wajah-kusam-i6678180192.html
SCAR-L,6679368602,Nature Reaction Crystal Bright Serum whitening + Vit C Glowing Wajah,https://id-test-11.slatic.net/p/b87fdb21a1429f84aed820e1b330b039.jpg,65863,146700,55.10361281526925,2,5.0,Nature Reaction,//www.lazada.co.id/products/nature-reaction-crystal-bright-serum-whitening-vit-c-glowing-wajah-i6679368602.html
SCAR-L,6678164615,Bisa COD Serum Menlab Hydrating Skin Cowok Perawatan Wajah Pria Melembabkan dan Mencerahkan Wajah Secara Alami SCARL,https://id-test-11.slatic.net/p/9cf86cba2fbe2d67299be92d0d19c641.jpg,102802,148900,30.95903290799194,2,5.0,Nature Reaction,//www.lazada.co.id/products/bisa-cod-serum-menlab-hydrating-skin-cowok-perawatan-wajah-pria-melembabkan-dan-mencerahkan-wajah-secara-alami-scarl-i6678164615.html
SCAR-L,6603936055,PARFUM WANITA TAHAN LAMA WANGI KALEM ORI MEWAH VIRAL TIKTOK - LOVABLE INFLUENCE,https://id-test-11.slatic.net/p/bba0dc5df0e5ef627e84bafcc12d81c1.jpg,107702,145000,25.722758620689657,3,5.0,Nature Reaction,//www.lazada.co.id/products/parfum-wanita-tahan-lama-wangi-kalem-ori-mewah-viral-tiktok-lovable-influence-i6603936055.html
SCAR-L,6679408028,Serum Pemutlh Wajah Glowing Nature Reaction Crystal Bright Serum NR,https://id-test-11.slatic.net/p/c8c73cf5b9227f6d3bcad66928566ef3.png,65863,155000,57.50774193548387,2,5.0,Nature Reaction,//www.lazada.co.id/products/serum-pemutlh-wajah-glowing-nature-reaction-crystal-bright-serum-nr-i6679408028.html
SCAR-L,6726594739,SCARL - Sabun Pemutih Espio BPOM Original - Espio Collagen Soap Original Asli BPOM - Espio Collagen Wanita Pria Murah,https://id-test-11.slatic.net/p/edcd0ba5f5b4b811c640f0858c88e2ce.jpg,47677,110000,56.657272727272726,2,5.0,Nature Reaction,//www.lazada.co.id/products/scarl-sabun-pemutih-espio-bpom-original-espio-collagen-soap-original-asli-bpom-espio-collagen-wanita-pria-murah-i6726594739.html
SCAR-L,6678166576,Termurah Serum Menlab Hydrating Skin Cowok Original Serum Wajah Whitening Mencerahkan dan Glowing Original BPOM,https://id-test-11.slatic.net/p/921746488f2faff68637e96dbce73487.jpg,101753,155000,34.35290322580645,2,5.0,Nature Reaction,//www.lazada.co.id/products/termurah-serum-menlab-hydrating-skin-cowok-original-serum-wajah-whitening-mencerahkan-dan-glowing-original-bpom-i6678166576.html
SCAR-L,6603942610,INFLUENCE LOVABLE EAU DE PARFUM MINYAK WANGI WANITA ORIGINAL 50 ML,https://id-test-11.slatic.net/p/7dbae15da0f6c4fa7d818eef8825034a.jpg,107702,149000,27.716778523489932,3,5.0,Nature Reaction,//www.lazada.co.id/products/influence-lovable-eau-de-parfum-minyak-wangi-wanita-original-50-ml-i6603942610.html
